,uri,title,album_date
0,6pZj4nvx6lV3ulIK3BSjvs,Moana,2016
1,2lfqRceJLjF8rSeo5P7SWW,Frozen,2013
2,4ZZvKnA1YJ2KcwjMmHBinq,Holiday Inn,1942
3,3rDo7fQDUwJ6qmxwP5yQsY,Home Alone,1990
4,5n47Dui0H3pGpZSOxITmoq,Grease,1978
5,2PDlvc7K51qC4Bkali3q0R,The Twilight Saga: New Moon,2009
6,1wbY6VUchNsZLaDi22eD3J,Hercules,1997
7,29EiOQJnxWlX5nVOWQpu3u,Aladdin,1992
8,1iGIqDBXm5HpTqHCvdc4QP,The Twilight Saga: Breaking Dawn - Part 1,2011
9,0nQJa9mRvan1HnkwbYuxAN,La La Land,2016
10,3AhP76AusdcJ9sZ4XgUcEc,Beauty and the Beast,2017
11,3B61kSKTxlY36cYgzvf3cP,Interstellar,2014
12,0CcL28OkH89kjgKpNZC8sW,The Princess and the Frog,2009
13,3Xiz5kq12VOzTw9Kun7m0f,Cars,2006
14,2y9VYOpp4YPlJ3HPiRxtqa,Sing,2016
15,28jbQJCBOGrZHnrkTb6uw5,Friday,1995
16,02VRifrsiTM73hPGjXduRQ,The Theory of Everything,2014
17,1zszC1x9HYKxUCKVa62p7C,Tarzan,1999
18,4iEg2hitHOT0fRpsReCqAH,The Polar Express,2004
19,7gzX88qS3Vx2r87g5pbdfJ,"O Brother, Where Art Thou?",2000
20,5VML6S956h4YfoYPooqLEi,Fifty Shades Darker,2017
21,4jzv8VHqVBSt6wHCNHpWZv,Home,2015
22,531pUFZ1BbEhfXDxitF8TU,Call Me by Your Name,2017
23,0MVa9A8tUgkPz1TJnX0C6C,Annie,1982
24,5yN2LiMaA7nEXT35GW4hNu,Up,2009
25,65jNkB2GjWLUZ223XmuKLT,Burlesque,2010
26,0mtLFaQ3hL371jsNraRo9g,Dirty Dancing,1987
27,1QN1oNiNm33SVenYlW7ADL,Robin Hood,2010
28,3X6netsswLt0U97Doga56C,Zootopia,2016
29,6kFJhsN8drSfWwL493qK0c,Despicable Me 3,2017
30,2kJpuz9FOqX5riMjGwihhY,Finding Nemo,2003
31,04rz93AqGy9JduzV3K81Dh,The Lord of the Rings: The Fellowship of the Ring,2001
32,4Qe057XqKloVNhnPohj6Yo,Pirates of the Caribbean: The Curse of the Black Pearl,2003
33,3R6Z3Hp8EMdhgkA5t89NiL,Flashdance,1983
34,3xU6u2UadKV6gHjlXdJvqZ,Despicable Me 2,2013
35,7Dr08Oi3zxdCzmFulSXSs2,Ratatouille,2007
36,1YrocR69AHthl982tykNpQ,Pete's Dragon,2016
37,7f0cdftcxwu61TCHkwVrs0,The Book of Life,2014
38,1rwMhGTCp0D6CN2XKQjyQt,Whiplash,2014
39,0mahHDhPnuYMbo3sXOEW50,The Muppets,2011
40,7lWMvhvTB4H9TWZM1IX12Q,Into the Woods,2014
41,2xXblCIb5G6ji70efT7THx,Harry Potter and the Half-Blood Prince,2009
42,5C6579KEvJj9AWaZtjSflC,Dune,1984
43,3MCUHjDo3wSm2QuLh1Fyrf,The Hobbit: The Desolation of Smaug,2013
44,72FOmF0bBxV9zPY1463mmM,Big Hero 6,2014
45,1sNK9vLvzIo626GznCEsBN,Inside Out,2015
