,album_uri,album_title,uri,song_title,first_artist,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature	
0,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:6FHUBs8P5qcjpj7C2QHdEq,Tulou Tagaloa,Olivia Foa'i,"[""Olivia Foa'i""]",0.271,0.405,2.0,-10.839,1.0,0.0379,0.337,0.123,0.165,0.188,109.041,51933.0,5.0	
1,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:3ZJnc1eGicPxRitBoC7eWZ,An Innocent Warrior,Vai Mahina,"['Vai Mahina', 'Sulata Foai-Amiatu', 'Matthew Ineleo']",0.283,0.203,2.0,-11.228,1.0,0.0342,0.909,0.000661,0.11,0.18,84.656,97413.0,4.0	
2,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:2bwSCIuNtVrQPVddCi8sOW,Where You Are,Christopher Jackson,"['Christopher Jackson', 'Rachel House', 'Nicole Scherzinger', ""Auli'i Cravalho"", 'Louise Bush']",0.707,0.656,4.0,-9.279,1.0,0.173,0.743,0.0,0.172,0.748,118.037,210320.0,4.0	
3,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:6mb6lVLNrcUgLnEN8QnDJd,How Far I'll Go,Auli'i Cravalho,"[""Auli'i Cravalho""]",0.571,0.307,1.0,-10.958,0.0,0.0499,0.649,0.0,0.178,0.108,83.72,163387.0,4.0	
4,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:6YH2r9NyEJTjlRmKOCvxgJ,We Know The Way,Opetaia Foa'i,"[""Opetaia Foa'i"", 'Lin-Manuel Miranda']",0.689,0.578,9.0,-8.737,1.0,0.0368,0.36,0.0,0.11,0.391,98.043,141413.0,4.0	
5,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:32pqqCrnIC5O5iE9c218PJ,How Far I'll Go - Reprise,Auli'i Cravalho,"[""Auli'i Cravalho""]",0.427,0.449,4.0,-8.37,1.0,0.0337,0.827,0.0,0.134,0.231,83.197,87347.0,4.0	
6,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:6U4VqEHy4n5VeiH4pQPL24,You're Welcome,Dwayne Johnson,['Dwayne Johnson'],0.788,0.745,5.0,-7.072,1.0,0.258,0.29,0.0,0.0373,0.672,135.278,163893.0,4.0	
7,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:1IZwCzAmaFmmdJj0cmhaax,Shiny,Jemaine Clement,['Jemaine Clement'],0.641,0.68,0.0,-7.64,1.0,0.23,0.482,0.0,0.101,0.574,146.116,185467.0,4.0	
8,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:29GNq0bPjVrqpISQGwj8Yx,Logo Te Pate,Olivia Foa'i,"[""Olivia Foa'i"", ""Opetaia Foa'i"", 'Talaga Steve Sale']",0.73,0.804,11.0,-7.183,1.0,0.0636,0.27,5.45e-05,0.0699,0.897,137.899,130173.0,4.0	
9,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:6uk7QQiWRDjPHSiSMZlez8,I Am Moana (Song of the Ancestors),Rachel House,"['Rachel House', ""Auli'i Cravalho""]",0.36,0.205,10.0,-11.576,1.0,0.0477,0.571,0.0,0.0797,0.232,148.985,162827.0,4.0	
