,imdb_id,title,rating,ratingcount,certificate,genres,gross_ww,gross_domestic,budget,Aged_30_44_rat,Aged_30_44_totrat,US_users_rat,US_users_totrat,Females_rat,Females_totrat,Aged_45plus_rat,Aged_45plus_totrat,Aged_18_29_rat,Aged_18_29_totrat,Males_rat,Males_totrat,Aged_under_18_rat,Aged_under_18_totrat,Non_US_users_rat,Non_US_users_totrat
0,tt3521164,Moana,7.6,342022,PG,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",665069139,248757044,150000000.0,7.5,116862,7.8,94562,7.9,60819,7.5,25999,7.7,52361,7.5,152508,7.6,403,7.5,234962
1,tt2294629,Frozen,7.4,631125,PG,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",1284540518,400953009,150000000,7.4,242810,7.5,147514,7.9,143388,7.3,53602,7.6,108598,7.3,295729,7.2,453,7.4,401653
2,tt0034862,Holiday Inn,7.3,16155,Passed,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance']",,,3200000.0,7.1,4733,7.5,9859,7.6,3946,7.5,5887,7.2,830,7.2,7915,8.0,1,7.1,4870
3,tt0099785,Home Alone,7.7,597264,PG,"['Comedy', 'Family']",476684675,285761243,18000000,7.7,242125,7.8,157596,7.8,86210,7.2,56454,7.7,75022,7.6,307555,7.9,543,7.6,392256
4,tt0077631,Grease,7.2,281652,PG,"['Comedy', 'Musical', 'Romance']",396271103,190071103,6000000,7.1,107566,7.4,83535,7.7,74237,7.4,46910,7.2,32114,7.0,120198,6.7,107,7.2,169025
5,tt1259571,The Twilight Saga: New Moon,4.7,287859,PG-13,"['Adventure', 'Drama', 'Fantasy', 'Romance']",711025481,297816253,50000000,4.6,149660,4.8,66551,5.6,89572,4.9,27055,4.8,42796,4.3,137046,4.9,87,4.7,192445
6,tt0119282,Hercules,7.3,235880,G,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",252712101,99112101,85000000,7.2,102079,7.3,67843,7.6,51713,6.8,15641,7.6,39839,7.2,114119,7.3,144,7.3,147552
7,tt0103639,Aladdin,8.0,426253,G,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",504050219,217350219,28000000,8.1,190935,8.2,124456,8.2,82137,7.7,38631,8.0,54393,8.0,215885,7.9,272,7.9,260036
8,tt1324999,The Twilight Saga: Breaking Dawn - Part 1,4.9,243669,PG-13,"['Adventure', 'Drama', 'Fantasy', 'Romance', 'Thriller']",712205856,281287133,110000000,4.7,115942,5.1,52297,5.9,84715,4.9,23108,5.0,43030,4.3,104652,4.7,81,4.8,155931
9,tt3783958,La La Land,8.0,597829,PG-13,"['Comedy', 'Drama', 'Music', 'Musical', 'Romance']",472000520,151101803,30000000,7.9,190368,8.1,130471,7.8,99735,7.5,47931,8.4,101819,8.0,271127,8.4,372,8.0,435069
10,tt2771200,Beauty and the Beast,7.1,313852,PG,"['Adventure', 'Family', 'Fantasy', 'Musical', 'Romance']",1266115964,504481165,160000000,7.0,111533,7.2,84147,7.6,76591,7.1,24932,7.1,47794,6.9,125451,6.6,252,7.0,214697
11,tt0816692,Interstellar,8.6,1852405,PG-13,"['Adventure', 'Drama', 'Sci-Fi']",773867216,188020017,165000000,8.6,604439,8.5,345436,8.4,184248,8.1,142499,8.9,272499,8.6,936837,9.0,1133,8.7,1288312
12,tt0780521,The Princess and the Frog,7.1,149338,G,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical', 'Romance']",267045765,104400899,105000000,7.1,66182,7.3,44937,7.4,44736,7.0,12940,7.3,22604,7.0,61173,7.7,158,7.1,93242
13,tt0317219,Cars,7.2,428735,G,"['Animation', 'Adventure', 'Comedy', 'Family', 'Sport']",461991867,244082982,120000000,7.1,164837,7.2,109983,7.2,56663,7.3,43698,7.2,68281,7.2,235564,7.6,438,7.2,281346
14,tt3470600,Sing,7.1,174297,PG,"['Animation', 'Comedy', 'Family', 'Musical']",634338384,270578425,75000000,7.1,58309,7.1,47786,7.3,33682,7.2,17725,7.1,23519,7.1,75375,7.0,239,7.1,119944
15,tt0113118,Friday,7.2,116292,R,"['Comedy', 'Drama']",28215918,27467564,3500000,7.2,55509,7.6,48801,7.3,9610,7.1,13691,7.2,12016,7.2,75496,7.2,39,7.0,55644
16,tt2980516,The Theory of Everything,7.7,456877,PG-13,"['Biography', 'Drama', 'Romance']",123726688,35893537,15000000,7.6,179814,7.6,75751,7.9,88732,7.5,40315,7.9,78857,7.6,231285,7.7,159,7.7,347193
