,title,uri,album_date,imdb_id,original_title,overview,release_date,original_language,runtime,popularity		
0,Moana,spotify:album:6pZj4nvx6lV3ulIK3BSjvs,2016,tt3521164,Moana,"In Ancient Polynesia, when a terrible curse incurred by Maui reaches an impetuous Chieftain's daughter's island, she answers the Ocean's call to seek out the demigod to set things right.",2016,en,107.0,9.143457		
1,Frozen,spotify:album:2lfqRceJLjF8rSeo5P7SWW,2013,tt2294629,Frozen,"Young princess Anna of Arendelle dreams about finding true love at her sister Elsaâ€™s coronation. Fate takes her on a dangerous journey in an attempt to end the eternal winter that has fallen over the kingdom. She's accompanied by ice delivery man Kristoff, his reindeer Sven, and snowman Olaf. On an adventure where she will find out what friendship, courage, family, and true love really means.",2013,en,102.0,24.248243		
2,Holiday Inn,spotify:album:4ZZvKnA1YJ2KcwjMmHBinq,1942,tt0034862,Holiday Inn,"Lovely Linda Mason has crooner Jim Hardy head over heels, but suave stepper Ted Hanover wants her for his new dance partner after femme fatale Lila Dixon gives him the brush. Jim's supper club, Holiday Inn, is the setting for the chase by Hanover and manager Danny Reed. The music's the thing.",1942,en,100.0,8.258968		
3,Home Alone,spotify:album:3rDo7fQDUwJ6qmxwP5yQsY,1990,tt0099785,Home Alone,"Eight-year-old Kevin McCallister makes the most of the situation after his family unwittingly leaves him behind when they go on Christmas vacation. But when a pair of bungling burglars set their sights on Kevin's house, the plucky kid stands ready to defend his territory. By planting booby traps galore, adorably mischievous Kevin stands his ground as his frantic mother attempts to race home before.",1990,en,103.0,0.702543		
4,Grease,spotify:album:5n47Dui0H3pGpZSOxITmoq,1978,tt0077631,Grease,"Australian good girl Sandy and greaser Danny fell in love over the summer. But when they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance despite their eccentric friends?",1978,en,110.0,7.854899		
5,The Twilight Saga: New Moon,spotify:album:2PDlvc7K51qC4Bkali3q0R,2009,tt1259571,The Twilight Saga: New Moon,"Forks, Washington resident Bella Swan is reeling from the departure of her vampire love, Edward Cullen, and finds comfort in her friendship with Jacob Black, a werewolf. But before she knows it, she's thrust into a centuries-old conflict, and her desire to be with Edward at any cost leads her to take greater and greater risks.",2009,en,130.0,30.121292		
6,Hercules,spotify:album:1wbY6VUchNsZLaDi22eD3J,1997,tt0119282,Hercules,"Bestowed with superhuman strength, a young mortal named Hercules sets out to prove himself a hero in the eyes of his father, the great god Zeus. Along with his friends Pegasus, a flying horse, and Phil, a personal trainer, Hercules is tricked by the hilarious, hotheaded villain Hades, who's plotting to take over Mount Olympus!",1997,en,93.0,14.048694		
7,Aladdin,spotify:album:29EiOQJnxWlX5nVOWQpu3u,1992,tt0103639,Aladdin,"Princess Jasmine grows tired of being forced to remain in the palace and she sneaks out into the marketplace  in disguise where she meets street-urchin Aladdin and the two fall in love, although she may only marry a prince. After being thrown in jail, Aladdin and becomes embroiled in a plot to find a mysterious lamp with which the evil Jafar hopes to rule the land.",1992,en,90.0,16.357419		
8,The Twilight Saga: Breaking Dawn - Part 1,spotify:album:1iGIqDBXm5HpTqHCvdc4QP,2011,tt1324999,The Twilight Saga: Breaking Dawn - Part 1,"The new found married bliss of Bella Swan and vampire Edward Cullen is cut short when a series of betrayals and misfortunes threatens to destroy their world. Bella soon discovers she is pregnant, and during a nearly fatal childbirth, Edward finally fulfills her wish to become immortal. But the arrival of their remarkable daughter, Renesmee, sets in motion a perilous chain of events that pits the Cullens and their allies against the Volturi, the fearsome council of vampire leaders, setting the stage for an all-out battle.",2011,en,117.0,25.9725		
9,La La Land,spotify:album:0nQJa9mRvan1HnkwbYuxAN,2016,tt3783958,La La Land,"Mia, an aspiring actress, serves lattes to movie stars in between auditions and Sebastian, a jazz musician, scrapes by playing cocktail party gigs in dingy bars, but as success mounts they are faced with decisions that begin to fray the fragile fabric of their love affair, and the dreams they worked so hard to maintain in each other threaten to rip them apart.",2016,en,128.0,19.681686		
