,index,0_x,0_y,date
0,0,Encanto (Original Motion Picture Soundtrack),spotify:album:25L8ck3KGcmCo3901ztPzR,2021
1,1,Moana (Original Motion Picture Soundtrack/Deluxe Edition),spotify:album:6pZj4nvx6lV3ulIK3BSjvs,2016
2,2,Frozen (Original Motion Picture Soundtrack / Deluxe Edition),spotify:album:7lZs5r4oQV2nutddffLrg0,2013
3,3,The Greatest Showman (Original Motion Picture Soundtrack),spotify:album:7ayBZIe1FHkNv0T5xFCX6F,2017
4,4,Frozen 2 (Original Motion Picture Soundtrack/Deluxe Edition),spotify:album:4M07HWIlZr7zoXoxDHR5mz,2019
5,5,Vegas (From the Original Motion Picture Soundtrack ELVIS),spotify:album:2Q5DPv9uliinOBSdNooIe3,2022
6,6,The Original Motion Picture Soundtrack,spotify:album:5aAfgCIEc9zBKbwFO6jixe,2021
7,7,Sing 2 (Original Motion Picture Soundtrack),spotify:album:3WCLzYOlSmLD2cy1RXdwUd,2021
8,8,TROLLS (Original Motion Picture Soundtrack),spotify:album:65ayND23IInUPHJKsaAqe7,2016
9,9,Coco (Original Motion Picture Soundtrack),spotify:album:7nMexBA71PdwPnfqS5Yji5,2017
10,10,Avatar: The Way of Water (Original Motion Picture Soundtrack),spotify:album:4M2Mf4pmARKGVT9MLCe3HA,2022
11,11,Holiday Inn (Original Motion Picture Soundtrack),spotify:album:4ZZvKnA1YJ2KcwjMmHBinq,1942
12,12,Home Alone (Original Motion Picture Soundtrack) [Anniversary Edition],spotify:album:3rDo7fQDUwJ6qmxwP5yQsY,1990
13,13,Grease (The Original Motion Picture Soundtrack),spotify:album:5n47Dui0H3pGpZSOxITmoq,1978
14,14,The Twilight Saga: New Moon (Original Motion Picture Soundtrack),spotify:album:2PDlvc7K51qC4Bkali3q0R,2009
15,15,Hercules (Original Motion Picture Soundtrack),spotify:album:1wbY6VUchNsZLaDi22eD3J,1997
16,16,Aladdin (Original Motion Picture Soundtrack),spotify:album:4WGcPCflN9FNccSu7tE9iS,2019
17,17,ELVIS (Original Motion Picture Soundtrack),spotify:album:74g0V2gxEA5MCSaivAwZyb,2022
18,18,The Twilight Saga: Breaking Dawn - Part 1 (Original Motion Picture Soundtrack),spotify:album:1iGIqDBXm5HpTqHCvdc4QP,2011
19,19,La La Land (Original Motion Picture Soundtrack),spotify:album:3GU8BzFEAdFSRjc8jZkL3S,2016
20,20,Beauty and the Beast (Original Motion Picture Soundtrack/Deluxe Edition),spotify:album:3AhP76AusdcJ9sZ4XgUcEc,2017
21,21,Interstellar (Original Motion Picture Soundtrack) [Expanded Edition],spotify:album:3B61kSKTxlY36cYgzvf3cP,2014
22,22,Fifty Shades Freed (Original Motion Picture Soundtrack),spotify:album:4w0N1CaZwQ5RPIuawqlYyy,2018
23,23,The Princess and the Frog (Original Motion Picture Soundtrack),spotify:album:0CcL28OkH89kjgKpNZC8sW,2009
24,24,Cars (Original Motion Picture Soundtrack),spotify:album:3Xiz5kq12VOzTw9Kun7m0f,2006
25,25,"Original Motion Picture Soundtrack and Music Inspired by ""Schattenkind""",spotify:album:4WPjk87zKjOFKSgmKF8xDd,2023
26,26,Sing (Original Motion Picture Soundtrack / Deluxe),spotify:album:5Sdmly0VRVw0wIow5eMHAW,2016
27,27,Ultimate Pitch Perfect (Original Motion Picture Soundtrack),spotify:album:3C81mDhWllB5q56pfvik3U,2015
28,28,Friday (Original Motion Picture Soundtrack),spotify:album:28jbQJCBOGrZHnrkTb6uw5,1995
29,29,The Theory of Everything (Original Motion Picture Soundtrack),spotify:album:02VRifrsiTM73hPGjXduRQ,2014
30,30,Turning Red (Original Motion Picture Soundtrack),spotify:album:6z1EZ0KfoiVW0bXIbOWAu3,2022
