,track_uri,title_track,artist	
0,7tFiyTwD0nx5a1eklYtX2J,Bohemian Rhapsody - Remastered 2011,Queen	
1,5B5YKjgne3TZzNpMsN9aj1,Roller Coaster,Danny Vera	
2,40riOy7x9W7GXjyGp4pjAv,Hotel California - 2013 Remaster,Eagles	
3,3FCto7hnn1shUyZL42YgfO,Piano Man,Billy Joel	
4,7LVHVU3tWfcxj5aiPFEW4Q,Fix You,Coldplay	
5,5CQ30WqJwcep0pYcV4AMNc,Stairway to Heaven - Remaster,Led Zeppelin	
6,5Xak5fmy089t0FYmh3VJiY,Black,Pearl Jam	
7,5Gc1NPkUBjkARUkH1Giwvh,Avond,Boudewijn de Groot	
8,2CtemffYhT0DJWcT1XW047,Nothing Else Matters (Remastered),Metallica	
9,790YJcgHlN3SaosQCHlWzn,Love Of My Life - Remastered 2011,Queen	
10,6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,Pink Floyd	
11,3YRCqOhFifThpSRFJ1VWFM,November Rain,Guns N' Roses	
12,5HNCy40Ni5BZJFw1TKzRsC,Comfortably Numb,Pink Floyd	
13,26tWBbtjvgi0tipRL2VQ2X,Brothers in Arms,Dire Straits	
14,5tU9JM1v72X7oM808Am6Fq,Radar Love,Golden Earring	
15,5TrfusgKC1BYic5LaWCoKm,Child in Time,Deep Purple	
16,2374M0fQpWi3dLnB54qaLX,Africa,TOTO	
17,1Cj2vqUwlJVG27gJrun92y,The Sound of Silence,Disturbed	
18,5ciRElWhvA0LuG2hQi90Ie,Soldier On,DI-RECT	
19,6cr6UDpkjEaMQ80OjWqEBQ,Sultans of Swing,Dire Straits	
20,54X78diSLoUDI3joC2bjMz,Purple Rain,Prince	
21,0LAcM6I7ijW4VVW0aytl1t,One (Remastered),Metallica	
22,7HrzErXq3TsKOY1gmdIShB,The River,Bruce Springsteen	
23,2g7gviEeJr6pyxO7G35EWQ,Paradise By the Dashboard Light,Meat Loaf	
24,07GvNcU1WdyZJq3XxP0kZa,Go Your Own Way - 2004 Remaster,Fleetwood Mac	
25,7Jh1bpe76CNTCgdgAdBw4Z,Heroes - 2017 Remaster,David Bowie	
26,6pnwfWyaWjQiHCKTiZLItr,Shine On You Crazy Diamond (Pts. 1-5),Pink Floyd	
27,57bgtoPSgt236HzfBOd8kj,Thunderstruck,AC/DC	
28,54bm2e3tk8cliUz3VSdCPZ,Master of Puppets (Remastered),Metallica	
29,071BtONQBIq4SkvO0okS4k,Telegraph Road,Dire Straits	
30,1mea3bSkSGXuIRvnydlB5b,Viva La Vida,Coldplay	
31,5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nirvana	
32,7GWU6dQFjYF5YpsAUwZfGq,Oceaan,Racoon	
33,6i81qFkru6Kj1IEsB7KNp2,Just Breathe,Pearl Jam	
34,7snQQk1zcKl8gZ92AnueZW,Sweet Child O' Mine,Guns N' Roses	
35,3O4TPMOgChXOerSdB5WENH,A Forest - 2006 Remaster,The Cure	
36,3YfS47QufnLDFA71FUsgCM,The Sound of Silence,Simon & Garfunkel	
37,3h7NZT1CATbn4GqUs51vwf,Door De Wind,Miss Montreal	
38,1dG4lTOVFu8RkSzybolp7o,Innuendo,Queen	
39,5e9TFTbltYBg2xThimr0rU,The Chain - 2004 Remaster,Fleetwood Mac	
40,0qprlw0jfsW4H9cG0FFE0Z,Cold Little Heart,Michael Kiwanuka	
41,3VqHuw0wFlIHcIPWkhIbdQ,Enter Sandman (Remastered),Metallica	
42,60a0Rd6pjrkxjPbaKzXjfq,In the End,Linkin Park	
43,0GjEhVFGZW8afUYGChu3Rr,Dancing Queen,ABBA	
44,5rAG0XusRfyLrzYV7A7lBL,Over De Muur,Klein Orkest	
45,18AXbzPzBS8Y3AkgSxzJPb,In The Air Tonight - 2015 Remastered,Phil Collins	
